Data;Ora solare;Livello Punta Salute (cm)
4-feb-98;8.00;48
4-feb-98;9.00;37
4-feb-98;10.00;31
4-feb-98;11.00;27
4-feb-98;12.00;25
4-feb-98;13.00;27
4-feb-98;14.00;31
4-feb-98;15.00;36
4-feb-98;16.00;39
4-feb-98;17.00;40
4-feb-98;18.00;39
4-feb-98;19.00;37
4-feb-98;20.00;36
4-feb-98;21.00;38
4-feb-98;22.00;39
4-feb-98;23.00;39
5-feb-98;0.00;41
5-feb-98;1.00;46
5-feb-98;2.00;48
5-feb-98;3.00;52
5-feb-98;4.00;57
5-feb-98;5.00;63
5-feb-98;6.00;65
5-feb-98;7.00;63
5-feb-98;8.00;55
5-feb-98;9.00;43
5-feb-98;10.00;31
5-feb-98;11.00;19
5-feb-98;12.00;12
5-feb-98;13.00;8
5-feb-98;14.00;9
5-feb-98;15.00;14
5-feb-98;16.00;20
5-feb-98;17.00;27
5-feb-98;18.00;36
5-feb-98;19.00;41
5-feb-98;20.00;43
5-feb-98;21.00;39
5-feb-98;22.00;32
5-feb-98;23.00;27
6-feb-98;0.00;26
6-feb-98;1.00;30
6-feb-98;2.00;37
6-feb-98;3.00;46
6-feb-98;4.00;55
6-feb-98;5.00;62
6-feb-98;6.00;67
6-feb-98;7.00;68
6-feb-98;8.00;63
6-feb-98;9.00;55
6-feb-98;10.00;41
6-feb-98;11.00;30
6-feb-98;12.00;16
6-feb-98;13.00;3
6-feb-98;14.00;-5
6-feb-98;15.00;-7
6-feb-98;16.00;-1
6-feb-98;17.00;11
6-feb-98;18.00;23
6-feb-98;19.00;35
6-feb-98;20.00;43
6-feb-98;21.00;45
6-feb-98;22.00;43
6-feb-98;23.00;36
7-feb-98;0.00;30
7-feb-98;1.00;25
7-feb-98;2.00;25
7-feb-98;3.00;32
7-feb-98;4.00;43
7-feb-98;5.00;54
7-feb-98;6.00;62
7-feb-98;7.00;68
7-feb-98;8.00;68
7-feb-98;9.00;60
7-feb-98;10.00;48
7-feb-98;11.00;32
7-feb-98;12.00;17
7-feb-98;13.00;1
7-feb-98;14.00;-10
7-feb-98;15.00;-17
7-feb-98;16.00;-16
7-feb-98;17.00;-5
7-feb-98;18.00;12
7-feb-98;19.00;30
7-feb-98;20.00;45
7-feb-98;21.00;55
7-feb-98;22.00;59
7-feb-98;23.00;56
8-feb-98;0.00;47
8-feb-98;1.00;38
8-feb-98;2.00;31
8-feb-98;3.00;31
8-feb-98;4.00;36
8-feb-98;5.00;46
8-feb-98;6.00;55
8-feb-98;7.00;65
8-feb-98;8.00;71
8-feb-98;9.00;70
8-feb-98;10.00;60
8-feb-98;11.00;43
8-feb-98;12.00;23
8-feb-98;13.00;3
8-feb-98;14.00;-16
8-feb-98;15.00;-26
8-feb-98;16.00;-29
8-feb-98;17.00;-20
8-feb-98;18.00;-1
8-feb-98;19.00;18
8-feb-98;20.00;35
8-feb-98;21.00;48
8-feb-98;22.00;55
8-feb-98;23.00;56
9-feb-98;0.00;48
9-feb-98;1.00;36
9-feb-98;2.00;23
9-feb-98;3.00;17
9-feb-98;4.00;17
9-feb-98;5.00;23
9-feb-98;6.00;36
9-feb-98;7.00;47
9-feb-98;8.00;54
9-feb-98;9.00;55
9-feb-98;10.00;51
9-feb-98;11.00;37
9-feb-98;12.00;20
9-feb-98;13.00;0
9-feb-98;14.00;-19
9-feb-98;15.00;-36
9-feb-98;16.00;-44
9-feb-98;17.00;-41
9-feb-98;18.00;-25
9-feb-98;19.00;-4
9-feb-98;20.00;19
9-feb-98;21.00;36
9-feb-98;22.00;50
9-feb-98;23.00;54
10-feb-98;0.00;49
10-feb-98;1.00;35
10-feb-98;2.00;19
10-feb-98;3.00;7
10-feb-98;4.00;-1
10-feb-98;5.00;0
10-feb-98;6.00;11
10-feb-98;7.00;26
10-feb-98;8.00;40
10-feb-98;9.00;51
10-feb-98;10.00;54
10-feb-98;11.00;45
10-feb-98;12.00;28
10-feb-98;13.00;8
10-feb-98;14.00;-15
10-feb-98;15.00;-33
10-feb-98;16.00;-48
10-feb-98;17.00;-50
10-feb-98;18.00;-37
10-feb-98;19.00;-17
10-feb-98;20.00;8
10-feb-98;21.00;28
10-feb-98;22.00;43
10-feb-98;23.00;52
11-feb-98;0.00;51
11-feb-98;1.00;39
11-feb-98;2.00;20
11-feb-98;3.00;4
11-feb-98;4.00;-7
11-feb-98;5.00;-10
